ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
9376308,01/01/2004 01:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,True,913.0,9.0,11.0,,
5493658,01/01/2004 01:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1834.0,18.0,42.0,,
7917000,01/01/2004 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1524.0,15.0,28.0,,
4729501,01/01/2004 01:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,634.0,6.0,21.0,,
7964634,01/01/2004 01:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1014.0,10.0,24.0,,
6137981,01/01/2004 01:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,811.0,8.0,23.0,,
7845861,01/01/2004 01:00:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,False,411.0,4.0,8.0,,
11218490,01/01/2004 02:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,222.0,2.0,4.0,,
10627663,01/01/2004 02:30:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1523.0,15.0,37.0,,
3122043,01/01/2004 02:30:00 AM,CRIMINAL DAMAGE,TO VEHICLE,True,False,734.0,7.0,17.0,41.767797366,-87.661469686
4614676,01/01/2004 03:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1911.0,19.0,47.0,,
3122659,01/01/2004 03:15:00 AM,BATTERY,SIMPLE,True,True,722.0,7.0,20.0,41.774406018,-87.635749346
6316937,01/01/2004 04:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,True,2522.0,25.0,30.0,,
3120278,01/01/2004 04:00:00 AM,BATTERY,SIMPLE,False,False,221.0,2.0,3.0,41.809294058,-87.622312742
4999584,01/01/2004 04:00:00 PM,THEFT,OVER $500,True,False,2323.0,19.0,46.0,,
3117418,01/01/2004 06:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,False,False,823.0,8.0,13.0,41.779713714,-87.713825573
3164709,01/01/2004 07:00:00 AM,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",False,False,1651.0,16.0,41.0,,
7951239,01/01/2004 07:00:00 AM,THEFT,AGG: FINANCIAL ID THEFT,False,False,924.0,9.0,11.0,,
3158938,01/01/2004 07:00:00 PM,NARCOTICS,POSS: CRACK,True,False,1124.0,11.0,2.0,,
7514093,01/01/2004 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1113.0,11.0,28.0,,
9978317,01/01/2004 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1024.0,10.0,22.0,,
6502035,01/01/2004 08:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,2013.0,20.0,48.0,,
7888287,01/01/2004 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,912.0,9.0,14.0,,
4698941,01/01/2004 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,923.0,9.0,11.0,,
10413538,01/01/2004 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1034.0,10.0,25.0,,
7706323,01/01/2004 08:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,822.0,8.0,14.0,,
7536592,01/01/2004 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,2515.0,25.0,37.0,,
6115058,01/01/2004 08:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1421.0,14.0,35.0,,
6997803,01/01/2004 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1411.0,14.0,33.0,,
7725698,01/01/2004 08:00:00 AM,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,False,False,2423.0,24.0,49.0,,
3142745,01/01/2004 08:30:00 PM,THEFT,$500 AND UNDER,False,False,2331.0,19.0,44.0,41.946163032,-87.653082833
6737590,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1012.0,10.0,24.0,,
5504336,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2332.0,19.0,44.0,,
