ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
9645195,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,1022.0,10.0,24.0,,
11186206,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,True,1522.0,15.0,29.0,41.871866796,-87.762066542
11105700,01/01/2009 01:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,True,834.0,8.0,18.0,41.749041845,-87.708473385
9729347,01/01/2009 01:00:00 PM,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,False,False,814.0,8.0,23.0,,
8851617,01/01/2009 01:00:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,False,False,812.0,8.0,23.0,,
8441611,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,1033.0,10.0,12.0,,
10791513,01/01/2009 01:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,False,2233.0,22.0,34.0,,
7111998,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,1131.0,11.0,24.0,41.875132462,-87.736173215
7562818,01/01/2009 01:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,True,True,1313.0,12.0,27.0,,
7209529,01/01/2009 01:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,False,2234.0,22.0,34.0,41.699568843,-87.649477566
8567979,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,False,True,1711.0,17.0,50.0,,
8105372,01/01/2009 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,True,1611.0,16.0,41.0,,
6685466,01/01/2009 01:30:00 AM,THEFT,FROM BUILDING,False,False,2234.0,22.0,34.0,41.696829366,-87.64890974
10033280,01/01/2009 01:30:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,False,True,1622.0,16.0,38.0,,
12112434,01/01/2009 01:43:00 PM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,False,True,1113.0,11.0,28.0,,
6685955,01/01/2009 01:45:00 AM,CRIMINAL DAMAGE,TO PROPERTY,False,False,421.0,4.0,7.0,41.756306932,-87.563894781
6685805,01/01/2009 01:45:46 AM,CRIMINAL DAMAGE,TO VEHICLE,False,False,711.0,7.0,20.0,41.786313163,-87.638865338
6685312,01/01/2009 01:55:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1434.0,14.0,32.0,,
8243316,01/01/2009 02:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,True,933.0,9.0,16.0,,
6687681,01/01/2009 02:00:00 AM,THEFT,FROM BUILDING,False,False,1434.0,14.0,32.0,,
7879275,01/01/2009 02:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,812.0,8.0,13.0,,
8372012,01/01/2009 02:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,613.0,6.0,21.0,,
11865717,01/01/2009 03:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,423.0,4.0,7.0,,
8365448,01/01/2009 03:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,False,413.0,4.0,7.0,,
8111250,01/01/2009 03:00:00 PM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,True,True,523.0,5.0,9.0,,
6685810,01/01/2009 03:18:22 AM,CRIMINAL TRESPASS,TO RESIDENCE,True,False,713.0,7.0,16.0,41.789700234,-87.65597532
7676839,01/01/2009 03:24:36 AM,BATTERY,DOMESTIC BATTERY SIMPLE,False,False,533.0,5.0,9.0,,
7914335,01/01/2009 03:46:00 PM,CRIMINAL DAMAGE,TO PROPERTY,False,False,533.0,5.0,9.0,,
